,date,posts,followers,following
global migration services,2021-09-05 08:53:06.555974,142,354,70
CanApprove,2021-09-05 08:53:11.422490,"1,395","8,782","6,134"
DM Immigration Consultants,2021-09-05 08:53:15.275002,389,"5,025","5,060"
Pelican Migration Consultants,2021-09-05 08:53:19.907061,225,"1,510",141
Vazir Group,2021-09-05 08:53:24.529806,434,"6,813",13
Quantis migration,2021-09-05 08:53:28.439614,667,240,145
Reliance Immigration Services,2021-09-05 08:53:32.829123,606,265,93
Can-Quest,2021-09-05 08:53:36.719798,305,246,73
Quantis Consultants,2021-09-05 08:53:40.432704,667,240,145
ACE Migration Services,2021-09-05 08:53:43.959667,269,743,58
Cosmos Immigration,2021-09-05 08:53:47.103156,20,644,12
immigrationca,2021-09-05 08:53:52.528471,968,80.3k,"6,483"
global migration services,2021-09-05 08:53:06.555974,142,354,70
CanApprove,2021-09-05 08:53:11.422490,"1,395","8,782","6,134"
DM Immigration Consultants,2021-09-05 08:53:15.275002,389,"5,025","5,060"
Pelican Migration Consultants,2021-09-05 08:53:19.907061,225,"1,510",141
Vazir Group,2021-09-05 08:53:24.529806,434,"6,813",13
Quantis migration,2021-09-05 08:53:28.439614,667,240,145
Reliance Immigration Services,2021-09-05 08:53:32.829123,606,265,93
Can-Quest,2021-09-05 08:53:36.719798,305,246,73
Quantis Consultants,2021-09-05 08:53:40.432704,667,240,145
ACE Migration Services,2021-09-05 08:53:43.959667,269,743,58
Cosmos Immigration,2021-09-05 08:53:47.103156,20,644,12
immigrationca,2021-09-05 08:53:52.528471,968,80.3k,"6,483"
global migration services,2021-09-05 09:42:08.724059,142,354,70
CanApprove,2021-09-05 09:42:10.891552,"1,395","8,782","6,134"
DM Immigration Consultants,2021-09-05 09:42:15.486838,389,"5,029","5,060"
Pelican Migration Consultants,2021-09-05 09:42:18.182347,225,"1,510",141
Vazir Group,2021-09-05 09:42:21.694288,434,"6,813",13
Quantis migration,2021-09-05 09:42:26.467685,667,240,145
Reliance Immigration Services,2021-09-05 09:42:28.255337,606,265,93
Can-Quest,2021-09-05 09:42:30.111624,306,247,73
Quantis Consultants,2021-09-05 09:42:31.696767,667,240,145
ACE Migration Services,2021-09-05 09:42:34.383243,269,743,58
Cosmos Immigration,2021-09-05 09:42:36.257518,20,644,12
immigrationca,2021-09-05 09:42:38.076439,968,80.3k,"6,483"
global migration services,2021-09-05 09:46:32.243821,142,354,70
CanApprove,2021-09-05 09:46:34.506878,"1,395","8,783","6,134"
DM Immigration Consultants,2021-09-05 09:46:35.152242,,,
